gene_id	cell_type
RUFY3	vGLUT_depleted
SCOC	vGLUT_depleted
SEPT7	vGLUT_depleted
SGIP1	vGLUT_depleted
SH3BGRL3	vGLUT_depleted
SHISA9	vGLUT_depleted
SLC25A14	vGLUT_depleted
SMAP1	vGLUT_depleted
SMARCA5	vGLUT_depleted
SMC1A	vGLUT_depleted
SMC3	vGLUT_depleted
SNAP25	vGLUT_depleted
SNX10	vGLUT_depleted
SNX14	vGLUT_depleted
SNX16	vGLUT_depleted
SRR	vGLUT_depleted
SSB	vGLUT_depleted
ST3GAL5	vGLUT_depleted
ST8SIA4	vGLUT_depleted
STIM2	vGLUT_depleted
STIP1	vGLUT_depleted
STMN2	vGLUT_depleted
STMN3	vGLUT_depleted
STMN4	vGLUT_depleted
TAX1BP1	vGLUT_depleted
THY1	vGLUT_depleted
TMEM151A	vGLUT_depleted
TMEM189	vGLUT_depleted
TMF1	vGLUT_depleted
TOP1	vGLUT_depleted
TPR	vGLUT_depleted
TRIP11	vGLUT_depleted
TSG101	vGLUT_depleted
TXNDC16	vGLUT_depleted
UBC	vGLUT_depleted
UBLCP1	vGLUT_depleted
UBQLN2	vGLUT_depleted
UBXN4	vGLUT_depleted
UCHL1	vGLUT_depleted
USP14	vGLUT_depleted
VSNL1	vGLUT_depleted
WASF1	vGLUT_depleted
YTHDC1	vGLUT_depleted
YWHAB	vGLUT_depleted
YWHAH	vGLUT_depleted
YWHAZ	vGLUT_depleted
ZEB2	vGLUT_depleted
ZNF260	vGLUT_depleted
ZSCAN26	vGLUT_depleted
ACHE	vGLUT_depleted
ADAM23	vGLUT_depleted
ADCYAP1	vGLUT_depleted
AEBP1	vGLUT_depleted
APOD	vGLUT_depleted
ARSA	vGLUT_depleted
ARSB	vGLUT_depleted
BRINP1	vGLUT_depleted
C1QA	vGLUT_depleted
C1QB	vGLUT_depleted
C1QTNF4	vGLUT_depleted
CACNA2D1	vGLUT_depleted
CACNA2D3	vGLUT_depleted
CALR	vGLUT_depleted
CBLN2	vGLUT_depleted
CCDC47	vGLUT_depleted
CFH	vGLUT_depleted
CHGA	vGLUT_depleted
CHGB	vGLUT_depleted
